Publisher,Week Sales
Nintendo,3476811
Capcom,2520830
Konami,821704
Marvelous,468953
The Pokemon Company,437181
Square Enix,419598
Microsoft,280362
Koei Tecmo,228026
Bandai Namco,197597
Imagineer,71608
Sega,60856
Teyon Japan,56787
Nippon Ichi,44033
Sony,41405
Mages.,30752
Broccoli,30346
THQ Nordic,30292
Electronic Arts,25436
Artdink,20043
FuRyu,18697
Arc System Works,17121
NIS,16736
Granzella,15145
Falcom,11230
Acquire,10446
Entergram,9182
Taito,8881
Spike Chunsoft,7951
D3 Publisher,7592
Clouded Leopard Entertainment,7384
Idea Factory,7028
Moss,4479
Rejet,3981
Game Addict,3745
Inti Creates,3718
Koch Media,3671
SNK,3438
IzanagiGames,2968
Beep Japan,2894
Ponos,2503
Activision,2288
Playism,2258
DMM Games,2141
Shogakukan,2059
G Choice,1759
3goo,1236
